time,consumption_power
2024-05-13 00:00:00.641,247.000000000
2024-05-13 00:00:07.766,246.000000000
2024-05-13 00:00:10.267,250.000000000
2024-05-13 00:00:12.769,264.000000000
2024-05-13 00:00:15.269,249.000000000
2024-05-13 00:00:17.768,252.000000000
2024-05-13 00:00:20.268,260.000000000
2024-05-13 00:00:22.767,254.000000000
2024-05-13 00:00:25.268,244.000000000
2024-05-13 00:00:27.769,265.000000000
2024-05-13 00:00:30.314,252.000000000
2024-05-13 00:00:32.813,249.000000000
2024-05-13 00:00:35.313,246.000000000
2024-05-13 00:00:37.813,254.000000000
2024-05-13 00:00:40.313,268.000000000
2024-05-13 00:00:42.813,258.000000000
2024-05-13 00:00:45.313,285.000000000
2024-05-13 00:00:47.814,259.000000000
2024-05-13 00:00:50.316,268.000000000
2024-05-13 00:00:52.816,257.000000000
2024-05-13 00:00:55.316,258.000000000
2024-05-13 00:00:57.863,255.000000000
2024-05-13 00:01:00.362,246.000000000
2024-05-13 00:01:02.861,253.000000000
2024-05-13 00:01:05.366,270.000000000
2024-05-13 00:01:07.865,269.000000000
2024-05-13 00:01:10.365,272.000000000
2024-05-13 00:01:12.865,259.000000000
2024-05-13 00:01:15.365,257.000000000
2024-05-13 00:01:17.863,275.000000000
2024-05-13 00:01:20.366,260.000000000
2024-05-13 00:01:22.866,250.000000000
2024-05-13 00:01:25.366,245.000000000
2024-05-13 00:01:27.864,235.000000000
2024-05-13 00:01:30.364,266.000000000
2024-05-13 00:01:32.868,257.000000000
2024-05-13 00:01:35.367,289.000000000
2024-05-13 00:01:37.866,287.000000000
2024-05-13 00:01:40.365,287.000000000
2024-05-13 00:01:42.865,263.000000000
2024-05-13 00:01:45.364,273.000000000
2024-05-13 00:01:47.864,278.000000000
2024-05-13 00:01:50.363,304.000000000
2024-05-13 00:01:52.863,286.000000000
2024-05-13 00:01:55.363,298.000000000
2024-05-13 00:01:59.145,248.000000000
2024-05-13 00:02:20.169,253.000000000
2024-05-13 00:02:22.669,258.000000000
2024-05-13 00:02:25.169,250.000000000
2024-05-13 00:02:32.724,292.000000000
2024-05-13 00:02:35.225,268.000000000
2024-05-13 00:02:37.928,245.000000000
2024-05-13 00:02:40.427,266.000000000
2024-05-13 00:02:42.927,268.000000000
2024-05-13 00:02:45.427,296.000000000
2024-05-13 00:02:47.926,318.000000000
2024-05-13 00:02:50.427,321.000000000
2024-05-13 00:02:52.926,319.000000000
2024-05-13 00:02:55.426,326.000000000
2024-05-13 00:02:57.927,319.000000000
2024-05-13 00:03:00.432,319.000000000
2024-05-13 00:03:02.933,321.000000000
2024-05-13 00:03:05.433,295.000000000
2024-05-13 00:03:07.932,338.000000000
2024-05-13 00:03:10.432,322.000000000
2024-05-13 00:03:12.933,322.000000000
2024-05-13 00:03:15.432,312.000000000
2024-05-13 00:03:17.931,309.000000000
2024-05-13 00:03:20.430,320.000000000
2024-05-13 00:03:22.929,315.000000000
2024-05-13 00:03:25.428,334.000000000
2024-05-13 00:03:27.928,321.000000000
2024-05-13 00:03:30.427,305.000000000
2024-05-13 00:03:32.928,297.000000000
2024-05-13 00:03:35.428,305.000000000
2024-05-13 00:03:37.926,310.000000000
2024-05-13 00:03:40.426,317.000000000
2024-05-13 00:03:42.924,336.000000000
2024-05-13 00:03:45.425,348.000000000
2024-05-13 00:03:47.924,343.000000000
2024-05-13 00:03:50.424,337.000000000
2024-05-13 00:03:52.923,329.000000000
2024-05-13 00:03:55.423,333.000000000
2024-05-13 00:03:57.923,312.000000000
2024-05-13 00:04:00.422,305.000000000
2024-05-13 00:04:02.924,299.000000000
2024-05-13 00:04:05.423,318.000000000
2024-05-13 00:04:07.923,327.000000000
2024-05-13 00:04:10.422,307.000000000
2024-05-13 00:04:12.922,298.000000000
2024-05-13 00:04:15.420,325.000000000
2024-05-13 00:04:17.921,352.000000000
2024-05-13 00:04:20.422,308.000000000
2024-05-13 00:04:22.921,294.000000000
2024-05-13 00:04:25.421,308.000000000
2024-05-13 00:04:27.920,320.000000000
2024-05-13 00:04:30.420,308.000000000
2024-05-13 00:04:32.923,295.000000000
2024-05-13 00:04:35.424,322.000000000
2024-05-13 00:04:37.924,303.000000000
2024-05-13 00:04:40.425,302.000000000
2024-05-13 00:04:42.924,324.000000000
2024-05-13 00:04:45.424,314.000000000
2024-05-13 00:04:47.924,317.000000000
2024-05-13 00:04:50.423,286.000000000
2024-05-13 00:04:52.923,309.000000000
2024-05-13 00:04:55.422,315.000000000
2024-05-13 00:04:57.921,315.000000000
2024-05-13 00:05:00.421,315.000000000
2024-05-13 00:05:02.921,306.000000000
2024-05-13 00:05:05.421,340.000000000
2024-05-13 00:05:07.920,302.000000000
2024-05-13 00:05:10.421,302.000000000
2024-05-13 00:05:12.921,302.000000000
2024-05-13 00:05:15.421,329.000000000
2024-05-13 00:05:17.920,308.000000000
2024-05-13 00:05:20.420,302.000000000
2024-05-13 00:05:22.919,303.000000000
2024-05-13 00:05:25.418,305.000000000
2024-05-13 00:05:27.923,302.000000000
2024-05-13 00:05:30.423,303.000000000
2024-05-13 00:05:32.924,307.000000000
2024-05-13 00:05:35.423,306.000000000
2024-05-13 00:05:37.923,324.000000000
2024-05-13 00:05:40.423,296.000000000
2024-05-13 00:05:42.924,300.000000000
2024-05-13 00:05:45.423,296.000000000
